,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.7889368866484068,0.05325757306464171,0.8939240506329114,0.03637473428994795,0.8366753286693317,0.033327160479904805,79.2,0.4,0.8343014057540182,0.021087789133979035
1,C0003962,Ascites,0.8747970728203287,0.05212752480074096,0.8211382113821137,0.02968383005942833,0.8461120714972395,0.028896168508408017,41.4,0.4898979485566356,,
2,C0006267,Bronchiectasis,0.8488888888888889,0.05904591224705076,0.7029411764705882,0.12212082054133347,0.7611030774935112,0.07573622487987858,16.8,0.39999999999999997,,
3,C0006826,Malignant neoplastic disease,0.7879201680672269,0.0996352184373285,0.5636363636363636,0.06165754530113881,0.6564552406657669,0.07270791733738817,22.0,0.0,,
4,C0020295,Hydronephrosis,0.9311931602879879,0.043319120569437666,0.891733870967742,0.05229358360809178,0.9087800023531258,0.018399551541819926,31.4,0.4898979485566356,,
5,C0025062,Mediastinal Emphysema,0.9017212067043401,0.04412512722388763,0.7459893048128343,0.08348071461140383,0.8135024259366365,0.055413829718064515,33.8,0.4,,
6,C0031039,Pericardial effusion,0.8983163333909602,0.03834916924190338,0.9536231884057971,0.0169013098401313,0.9245257596998643,0.018862477358637268,69.0,0.0,,
7,C0032285,Pneumonia,0.8549292661361626,0.08175745671444393,0.7448275862068966,0.046774689538794934,0.7950174483941563,0.05688947035290133,29.0,0.0,,
8,C0032326,Pneumothorax,0.7661226489028212,0.029959053312308442,0.9104826546003018,0.020043313753520142,0.8315450551768173,0.016833019184290275,51.4,0.4898979485566356,,
9,C0497156,Lymphadenopathy,0.8212748963024692,0.042711704052967064,0.768,0.0805977667184395,0.7900050480214802,0.04001129245232318,50.0,0.0,,
10,C5203670,COVID19 (disease),0.7959163039739161,0.04792458314737964,0.7857142857142857,0.12042104254755678,0.7849437148217637,0.05624768920367374,21.4,0.4898979485566356,,
11,OVERRALL,,0.8427288029203189,0.05383749480109907,0.798364608439076,0.060940850073616985,0.8135150157026995,0.04302952736520816,40.490909090909085,0.22001088804492497,0.8343014057540182,0.021087789133979035
