,class,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std,accuracy_mean,accuracy_std
0,C0000833,Abscess,0.809930208286405,0.00516715924677493,0.904040404040404,0.019883858267706576,0.8543207245624247,0.010592109256182397,132.0,0.0,0.8491297633860929,0.008632575068452608
1,C0003962,Ascites,0.8757575757575758,0.030100332173235014,0.8357487922705314,0.03803868538169955,0.8541157353956299,0.015203912761721006,69.0,0.0,,
2,C0006267,Bronchiectasis,0.8206986250464512,0.027437485650000804,0.7142857142857143,0.0583211843519804,0.7633093123289202,0.04466816951210526,28.0,0.0,,
3,C0006826,Malignant neoplastic disease,0.7152777777777777,0.054680610236193125,0.5730730730730732,0.0426513358966761,0.6327710461709036,0.006943948750069804,36.666666666666664,0.4714045207910317,,
4,C0020295,Hydronephrosis,0.9725115310221693,0.007781701028595411,0.8858248669569425,0.061332085112263846,0.9258097763252402,0.030693319333842464,52.333333333333336,0.4714045207910317,,
5,C0025062,Mediastinal Emphysema,0.8644249303919468,0.019660345635408562,0.7813283208020051,0.06626365693728405,0.818674507207716,0.029349302467317546,56.333333333333336,0.4714045207910317,,
6,C0031039,Pericardial effusion,0.9570607553366174,0.01944074151802589,0.9449275362318841,0.03502332166259295,0.9501980289214332,0.010293639330957819,115.0,0.0,,
7,C0032285,Pneumonia,0.8268217054263566,0.02515166423060102,0.8142006802721088,0.04264578004592294,0.819136350192251,0.013370330733269108,48.333333333333336,0.4714045207910317,,
8,C0032326,Pneumothorax,0.8640345079486554,0.03464087111079138,0.9027359781121751,0.005242570049659714,0.8825069065415597,0.015904386575939847,85.66666666666667,0.4714045207910317,,
9,C0497156,Lymphadenopathy,0.7573390079546031,0.030726822263511526,0.8398833428953911,0.032095271553819416,0.7956068579571499,0.017891081501620155,83.33333333333333,0.4714045207910317,,
10,C5203670,COVID19 (disease),0.8178482914739575,0.03759034281827734,0.7478835978835979,0.08110871234851941,0.7788949788949789,0.05043773869642082,35.666666666666664,0.4714045207910317,,
11,OVERRALL,,0.8437913560384106,0.02657982508285591,0.8130847551658026,0.04387331469164772,0.8250312931362006,0.02230435808358602,67.48484848484848,0.22676711434993588,0.8491297633860929,0.008632575068452608
