class,class_name,Type,Models,precision,recall,f1,support,accuracy
OVERRALL,,Image_only,BERT+ViT,$0.42 \pm 0.06$,$0.4 \pm 0.08$,$0.4 \pm 0.06$,$40.49 \pm 0.22$,$0.46 \pm 0.01$
OVERRALL,,Image_only,BERT+MedImageInsight,$0.66 \pm 0.08$,$0.64 \pm 0.07$,$0.64 \pm 0.06$,$40.49 \pm 0.22$,$0.69 \pm 0.02$
